id,pid,url,host,keywords,label
192,190,http://data.house.sina.com.cn/kaipan/,data.house.sina.com.cn,kaipan,新房
193,190,http://www.leju.com,www.leju.com,,电商
194,190,http://bj.house.sina.com.cn/scan/kft/,bj.house.sina.com.cn,scan|kft,看房团
195,190,http://bj.house.sina.com.cn/bxjsq/,bj.house.sina.com.cn,bxjsq,房贷计算
196,190,http://bbs.house.sina.com.cn,bbs.house.sina.com.cn,,业主论坛
197,190,http://blog.sina.com.cn/lm/house/,blog.sina.com.cn,lm|house,房产博客
198,190,http://t.house.sina.com.cn,t.house.sina.com.cn,,微博
199,190,http://esf.sina.com.cn,esf.sina.com.cn,,二手房
200,190,http://zufang.sina.com.cn,zufang.sina.com.cn,,租房
201,190,http://3g.leju.com,3g.leju.com,,手机乐居
202,190,http://jiaju.sina.com.cn,jiaju.sina.com.cn,,家居
203,190,http://16.jiaju.com,16.jiaju.com,,家居图库
204,1,http://auto.sina.com.cn/,auto.sina.com.cn,,汽车
205,204,http://auto.sina.com.cn/newcar/,auto.sina.com.cn,newcar,新车
206,204,http://photo.auto.sina.com.cn/,photo.auto.sina.com.cn,,图库
207,204,http://photo.auto.sina.com.cn/tujie/,photo.auto.sina.com.cn,tujie,图解
208,204,http://auto.sina.com.cn/review/shendushiche/1/,auto.sina.com.cn,review|shendushiche,试车
209,204,http://data.auto.sina.com.cn/,data.auto.sina.com.cn,,车型大全
210,204,http://data.auto.sina.com.cn/suv/,data.auto.sina.com.cn,suv,SUV
211,204,http://news.auto.sina.com.cn/,news.auto.sina.com.cn,,滚动新闻
212,204,http://um.auto.sina.com.cn/,um.auto.sina.com.cn,,车致
213,204,http://auto.sina.com.cn/iphone/autogallery/,auto.sina.com.cn,iphone|autogallery,移动端
214,204,http://auto.sina.com.cn/video/,auto.sina.com.cn,video,视频
215,204,http://auto.sina.com.cn/guide/,auto.sina.com.cn,guide,导购
216,204,http://auto.sina.com.cn/sales/,auto.sina.com.cn,sales,降价
217,204,http://dealer.auto.sina.com.cn/price/,dealer.auto.sina.com.cn,price,报价
218,204,http://dealer.auto.sina.com.cn/dealer/,dealer.auto.sina.com.cn,dealer,经销商
219,204,http://auto.sina.com.cn/service/,auto.sina.com.cn,service,用车
220,204,http://model.auto.sina.com.cn/,model.auto.sina.com.cn,,车模
221,1,http://history.sina.com.cn/,history.sina.com.cn,,历史
222,221,http://history.sina.com.cn/news/list/29.shtml,history.sina.com.cn,news,史海钩沉
223,221,http://history.sina.com.cn/zl/,history.sina.com.cn,zl,新史记
224,221,http://history.sina.com.cn/photo/,history.sina.com.cn,photo,图片库
225,221,http://history.sina.com.cn/bbs/,history.sina.com.cn,bbs,历史论坛
226,221,http://history.sina.com.cn/z/all/,history.sina.com.cn,z|all,重磅策划
227,221,http://blog.sina.com.cn/lm/history/,blog.sina.com.cn,lm|history,文化博客
228,221,http://cul.history.sina.com.cn/,cul.history.sina.com.cn,,文化频道
229,221,http://history.sina.com.cn/zl/zuozhe/,history.sina.com.cn,zl|zuozhe,历史名家
230,221,http://slide.history.sina.com.cn/,slide.history.sina.com.cn,,高清图
231,1,http://edu.sina.com.cn/,edu.sina.com.cn,,教育
232,231,http://edu.sina.com.cn/zxx/,edu.sina.com.cn,zxx,中小学
233,231,http://edu.sina.com.cn/ischool/,edu.sina.com.cn,ischool,国际学校
234,231,http://edu.sina.com.cn/zhongkao/,edu.sina.com.cn,zhongkao,中考
235,231,http://edu.sina.com.cn/gaokao/,edu.sina.com.cn,gaokao,高考
236,231,http://edu.sina.com.cn/kaoyan/,edu.sina.com.cn,kaoyan,考研
237,231,http://edu.sina.com.cn/official/,edu.sina.com.cn,official,公务员
238,231,http://edu.sina.com.cn/bschool/,edu.sina.com.cn,bschool,商学院
239,231,http://edu.sina.com.cn/a/,edu.sina.com.cn,a,出国留学
240,231,http://edu.sina.com.cn/yimin/,edu.sina.com.cn,yimin,移民
241,231,http://edu.sina.com.cn/foreign/,edu.sina.com.cn,foreign,外语
242,231,http://edu.sina.com.cn/kids/,edu.sina.com.cn,kids,少儿英语
243,231,http://edu.sina.com.cn/cet/,edu.sina.com.cn,cet,四六级
244,231,http://open.sina.com.cn/,open.sina.com.cn,,公开课
245,231,http://edu.sina.com.cn/college/,edu.sina.com.cn,college,院校库
246,1,http://baby.sina.com.cn/,baby.sina.com.cn,,育儿
247,246,http://baby.sina.com.cn/yunchan/,baby.sina.com.cn,yunchan,准妈孕产
248,246,http://baby.sina.com.cn/baobao/,baby.sina.com.cn,baobao,宝宝养育
249,246,http://ask.baby.sina.com.cn/,ask.baby.sina.com.cn,,专家问答
250,246,http://roll.baby.sina.com.cn/babyhnelist/jk/mmcjjb/default/index.shtml,roll.baby.sina.com.cn,babyhnelist|jk|mmcjjb|default,妈妈常见病
251,246,http://roll.baby.sina.com.cn/babyhnelist/jk/bbcjjb/default/index.shtml,roll.baby.sina.com.cn,babyhnelist|jk|bbcjjb|default,宝宝常见病
252,246,http://baby.sina.com.cn/tv/,baby.sina.com.cn,tv,育婴课堂
253,246,http://club.baby.sina.com.cn/,club.baby.sina.com.cn,,论坛
254,246,http://blog.baby.sina.com.cn/lm/baby/,blog.baby.sina.com.cn,lm|baby,博客
255,246,http://weibo.baby.sina.com.cn/,weibo.baby.sina.com.cn,,微博社区
256,246,http://baby.sina.com.cn/zaojiao/,baby.sina.com.cn,zaojiao,早教
257,246,http://product.baby.sina.com.cn/tryout_new.php,product.baby.sina.com.cn,tryout_new,试用
258,246,http://baby.sina.com.cn/z/yangyuyoudao/,baby.sina.com.cn,z|yangyuyoudao,线下活动
259,246,http://baby.sina.com.cn/tools/,baby.sina.com.cn,tools,工具
260,1,http://astro.sina.com.cn/,astro.sina.com.cn,,星座
261,260,http://astro.sina.com.cn/luck/,astro.sina.com.cn,luck,运势大全
262,260,http://astro.sina.com.cn/pc/tools/,astro.sina.com.cn,pc|tools,命理查询
263,260,http://astro.sina.com.cn/test/,astro.sina.com.cn,test,心理测试
264,260,http://astro.sina.com.cn/feeling/,astro.sina.com.cn,feeling,星座爱情
265,260,http://astro.sina.com.cn/blod/,astro.sina.com.cn,blod,血型个性
266,260,http://astro.sina.com.cn/vogue/,astro.sina.com.cn,vogue,时尚话题
267,260,http://astro.sina.com.cn/z/blogindex/,astro.sina.com.cn,z|blogindex,名博客
268,260,http://astro.sina.com.cn/bbs/,astro.sina.com.cn,bbs,星座社区
269,260,http://astro.sina.com.cn/z/dream/,astro.sina.com.cn,z|dream,解梦
270,260,http://astro.sina.com.cn/pc/zodiac.html,astro.sina.com.cn,pc|zodiac,占星命盘
271,260,http://astro.sina.com.cn/taluo/,astro.sina.com.cn,taluo,塔罗占卜
272,260,http://astro.sina.com.cn/z/numberology/,astro.sina.com.cn,z|numberology,生命灵数
273,1,http://fo.sina.com.cn/,fo.sina.com.cn,,佛学
274,273,http://fo.sina.com.cn/intro/,fo.sina.com.cn,intro,入门
275,273,http://fo.sina.com.cn/music/,fo.sina.com.cn,music,音乐
276,273,http://fo.sina.com.cn/culture/,fo.sina.com.cn,culture,文化
277,273,http://fo.sina.com.cn/master/,fo.sina.com.cn,master,高僧
278,273,http://fo.sina.com.cn/veg/,fo.sina.com.cn,veg,素食
279,273,http://fo.sina.com.cn/blog/,fo.sina.com.cn,blog,博客
280,273,http://fo.sina.com.cn/classics/,fo.sina.com.cn,classics,佛教经典
281,273,http://fo.sina.com.cn/xuefo/,fo.sina.com.cn,xuefo,学佛心路
282,273,http://fo.sina.com.cn/temple/,fo.sina.com.cn,temple,寺院导航
283,273,http://fo.sina.com.cn/zt/,fo.sina.com.cn,zt,专题
284,1,http://travel.sina.com.cn/,travel.sina.com.cn,,旅游
285,284,http://travel.sina.com.cn/lvyou/,travel.sina.com.cn,lvyou,旅游景点
286,284,http://travel.sina.com.cn/gonglue/,travel.sina.com.cn,gonglue,旅游攻略
287,284,http://vi.travel.sina.com.cn/,vi.travel.sina.com.cn,,图片
288,284,http://travel.sina.com.cn/lvxingjia/,travel.sina.com.cn,lvxingjia,我的旅行
289,284,http://travel.sina.com.cn/hotel/,travel.sina.com.cn,hotel,酒店预订
290,284,http://travel.sina.com.cn/air/,travel.sina.com.cn,air,机票查询
291,284,http://travel.sina.com.cn/quanbu-remen/,travel.sina.com.cn,quanbu-remen,景点推荐
292,284,http://travel.sina.com.cn/lvxingjia/,travel.sina.com.cn,lvxingjia,旅行家
293,284,http://travel.sina.com.cn/quanbu-faxian/,travel.sina.com.cn,quanbu-faxian,发现之旅
294,284,http://travel.sina.com.cn/zhuti/,travel.sina.com.cn,zhuti,主题旅游
295,284,http://travel.sina.com.cn/zzn/,travel.sina.com.cn,zzn,热门专题
296,1,http://games.sina.com.cn/,games.sina.com.cn,,游戏
297,296,http://games.sina.com.cn/newgame/,games.sina.com.cn,newgame,全球新网游
298,296,http://top.sina.com.cn/,top.sina.com.cn,,网游排行榜
299,296,http://games.sina.com.cn/pc/,games.sina.com.cn,pc,单机电竞
